session_id,customer_id,product_id,device_id,date_id,quantity,abandonment_time
1,979,20,5,252,4,7/13/2023
2,373,12,3,353,2,11/7/2023
3,32,3,4,286,2,3/3/2023
4,631,25,1,365,2,
5,127,9,3,163,3,7/22/2023
6,166,8,1,111,5,10/6/2023
7,798,25,5,365,5,6/27/2023
8,21,19,4,5,2,
9,471,21,3,141,4,
10,729,7,5,337,3,7/29/2023
11,814,11,3,129,3,6/3/2023
12,511,24,3,37,1,
13,3,17,4,85,1,
14,530,2,5,166,2,6/23/2023
15,272,20,4,69,4,
16,4,13,1,258,3,1/11/2023
17,124,14,1,66,1,
18,586,25,4,249,5,
19,160,4,5,333,5,
20,234,25,1,66,3,9/24/2023
21,979,2,1,112,1,7/25/2023
22,61,7,4,118,5,3/14/2023
23,441,19,1,274,1,
24,183,4,3,222,5,
25,526,7,4,244,2,7/20/2023
26,974,8,1,302,5,8/12/2023
27,626,10,5,197,3,5/22/2023
28,508,7,4,187,4,
29,395,24,4,259,4,
30,713,9,5,157,4,
31,251,4,2,357,4,5/1/2023
32,298,18,3,282,2,10/13/2023
33,485,6,2,121,4,4/5/2023
34,622,14,5,81,4,4/21/2023
35,214,25,5,300,1,3/28/2023
36,350,5,5,35,4,
37,815,8,3,250,2,12/8/2023
38,229,25,5,41,4,
39,211,3,5,238,4,2/22/2023
40,256,3,3,198,1,5/15/2023
41,657,3,5,174,3,2/22/2023
42,709,3,5,233,5,9/21/2023
43,38,22,3,141,2,10/25/2023
44,99,23,5,119,5,
45,139,20,2,341,1,
46,216,13,5,178,5,
47,941,9,5,176,4,
48,259,21,3,310,3,5/30/2023
49,228,10,3,321,1,
50,78,9,3,151,4,10/21/2023
51,551,12,1,226,1,
52,555,16,1,4,3,6/8/2023
53,307,8,1,199,2,8/8/2023
54,35,4,1,287,5,9/2/2023
55,922,12,2,319,4,12/8/2023
56,933,2,5,8,1,1/28/2023
57,822,18,3,191,5,6/11/2023
58,674,21,3,76,4,
59,753,11,1,30,2,3/31/2023
60,975,19,3,74,4,10/12/2023
61,206,13,3,333,3,
62,646,4,1,11,3,8/22/2023
63,358,20,4,282,5,
64,80,6,1,290,1,12/2/2023
65,588,14,4,328,5,8/27/2023
66,694,4,1,104,3,8/12/2023
67,821,12,1,238,5,11/11/2023
68,173,17,3,8,5,
69,125,13,3,130,4,6/27/2023
70,242,6,2,307,2,8/3/2023
71,109,16,5,228,4,12/21/2023
72,478,15,4,59,4,3/9/2023
73,707,20,2,214,5,1/8/2023
74,850,19,2,129,3,
75,337,11,2,114,5,
76,646,15,5,95,2,
77,284,23,3,28,2,4/25/2023
78,398,1,1,205,3,
79,110,13,1,50,3,
80,190,3,3,66,2,
81,681,13,3,29,3,10/5/2023
82,305,1,2,227,2,
83,681,6,5,195,1,9/23/2023
84,658,16,2,77,3,12/11/2023
85,675,10,5,43,5,
86,539,1,1,227,1,11/26/2023
87,740,10,5,178,5,
88,249,5,5,329,4,2/21/2023
89,846,4,1,235,5,
90,114,14,4,136,3,
91,592,10,4,203,4,
92,144,1,3,326,4,
93,833,21,5,352,5,2/1/2023
94,149,5,1,151,1,
95,463,4,4,143,5,12/5/2023
96,689,19,1,362,3,5/12/2023
97,283,23,3,315,4,11/3/2023
98,607,8,2,85,2,
99,839,22,4,179,1,6/20/2023
100,897,25,2,63,2,7/27/2023
101,499,9,5,115,2,
102,841,3,3,21,1,5/13/2023
103,113,5,5,28,5,
104,827,13,3,253,5,4/21/2023
105,563,4,5,315,3,10/10/2023
106,807,14,5,192,2,11/7/2023
107,515,12,2,245,4,
108,562,16,2,295,4,11/20/2023
109,599,5,5,102,3,
110,938,3,3,257,3,
111,510,20,3,325,4,10/17/2023
112,115,7,5,254,3,
113,750,18,1,341,4,
114,594,20,1,280,5,
115,200,1,2,180,1,
116,713,9,5,243,2,4/10/2023
117,239,11,1,73,1,
118,378,14,1,149,3,
119,369,2,3,303,5,
120,856,25,4,122,4,5/11/2023
121,840,11,5,5,2,11/23/2023
122,978,25,2,185,2,
123,742,11,5,346,2,1/5/2023
124,151,7,4,214,1,7/13/2023
125,313,19,1,34,1,2/25/2023
126,249,14,5,150,3,
127,123,20,3,67,4,12/22/2023
128,542,1,1,89,4,5/7/2023
129,239,25,2,287,3,8/18/2023
130,137,19,3,334,5,
131,843,12,4,245,2,5/24/2023
132,794,23,1,63,2,
133,498,23,3,154,2,1/30/2023
134,310,6,1,261,2,
135,630,25,1,291,2,
136,207,2,3,152,3,3/2/2023
137,244,1,2,297,5,
138,404,17,1,226,3,
139,290,23,4,64,4,6/17/2023
140,383,8,1,244,1,
141,915,22,3,221,1,2/1/2023
142,557,22,3,275,1,
143,782,24,2,52,2,8/29/2023
144,413,6,2,71,1,
145,630,3,4,64,3,
146,928,8,5,210,4,
147,727,13,4,45,3,
148,817,18,4,44,2,
149,133,8,3,360,3,11/28/2023
150,587,10,4,106,1,9/3/2023
151,366,4,2,193,3,3/15/2023
152,878,4,3,7,2,5/23/2023
153,331,22,3,56,2,5/21/2023
154,878,10,5,104,2,5/9/2023
155,63,16,2,361,4,
156,715,9,2,309,5,11/5/2023
157,817,3,2,174,4,
158,800,15,5,332,3,4/28/2023
159,770,4,3,167,3,
160,528,8,2,312,5,
161,473,7,2,351,2,
162,257,22,3,13,5,
163,993,6,5,114,5,
164,16,7,2,44,3,1/17/2023
165,344,7,4,166,1,
166,338,17,5,147,2,6/7/2023
167,907,15,5,137,3,12/31/2023
168,838,25,4,301,4,
169,626,2,1,171,5,12/20/2023
170,930,20,2,99,5,
171,513,7,5,121,5,11/1/2023
172,133,3,4,145,4,
173,642,18,3,284,1,
174,758,10,2,229,3,1/26/2023
175,867,20,1,14,2,
176,497,1,3,122,4,
177,828,9,3,285,3,12/6/2023
178,594,22,5,314,3,1/3/2023
179,584,22,5,113,4,
180,749,25,3,325,1,
181,401,22,1,217,3,
182,113,16,5,27,4,10/5/2023
183,835,24,5,224,1,3/11/2023
184,512,23,3,251,4,6/28/2023
185,663,24,4,108,4,
186,73,14,5,45,4,
187,385,15,2,145,5,9/3/2023
188,806,21,2,301,5,
189,259,3,5,296,5,
190,231,19,4,207,2,1/4/2023
191,142,23,2,219,4,10/1/2023
192,95,9,1,104,4,
193,701,6,2,173,3,
194,950,9,4,9,5,6/2/2023
195,726,21,3,49,3,
196,601,9,1,73,2,2/14/2023
197,482,8,2,338,2,5/9/2023
198,469,19,1,174,4,
199,268,6,1,150,2,2/18/2023
200,913,5,2,112,5,6/28/2023
201,28,4,3,258,4,
202,634,10,4,12,5,
203,678,10,4,198,3,1/27/2023
204,917,4,1,317,1,
205,478,9,4,2,3,
206,979,23,5,176,2,
207,203,18,4,15,5,
208,204,2,4,188,1,
209,460,1,1,160,5,4/17/2023
210,129,24,1,334,2,8/31/2023
211,236,7,1,305,3,
212,607,2,5,51,2,
213,618,2,1,15,2,6/14/2023
214,376,2,2,189,2,6/18/2023
215,609,12,3,343,2,
216,70,7,5,81,5,
217,188,19,2,55,3,6/30/2023
218,260,9,5,95,1,7/3/2023
219,790,10,2,40,5,
220,856,5,3,323,3,2/28/2023
221,271,6,2,355,5,
222,442,9,3,331,1,
223,114,22,1,29,2,
224,379,20,2,292,4,
225,509,9,3,289,2,
226,261,3,2,140,5,
227,962,4,2,220,2,12/13/2023
228,613,24,3,207,2,
229,531,17,3,228,5,
230,363,1,5,340,4,2/16/2023
231,734,5,3,104,3,3/16/2023
232,153,20,4,98,4,5/22/2023
233,386,13,2,49,2,6/16/2023
234,549,23,5,174,5,4/29/2023
235,866,21,5,44,1,
236,365,2,5,157,4,9/25/2023
237,40,24,1,60,1,3/29/2023
238,517,23,4,326,1,7/7/2023
239,400,13,5,240,1,
240,703,17,3,47,4,
241,46,21,5,58,3,
242,275,22,1,216,1,6/13/2023
243,807,23,5,185,1,3/28/2023
244,374,5,2,100,2,10/3/2023
245,421,12,4,329,3,6/14/2023
246,23,11,2,97,5,
247,312,7,1,203,4,
248,603,25,3,216,2,4/21/2023
249,297,1,3,211,2,
250,297,1,1,47,1,
251,666,16,5,61,1,9/30/2023
252,857,23,1,211,5,4/28/2023
253,506,7,2,123,1,
254,429,15,2,348,4,
255,345,19,2,315,3,
256,244,6,5,78,1,11/20/2023
257,465,11,3,26,1,
258,599,23,5,177,5,10/17/2023
259,95,15,1,222,2,11/25/2023
260,702,12,5,270,2,12/9/2023
261,630,19,4,211,2,4/6/2023
262,766,21,4,194,4,
263,488,24,3,164,4,
264,596,16,1,229,3,
265,814,16,2,105,1,5/2/2023
266,966,22,3,360,1,
267,961,17,1,227,1,
268,373,23,1,198,4,
269,349,3,2,292,5,3/22/2023
270,287,10,5,310,3,9/1/2023
271,439,9,2,154,1,
272,225,19,4,163,1,8/17/2023
273,522,3,5,247,5,10/27/2023
274,11,8,5,143,4,7/6/2023
275,114,22,4,70,3,
276,754,11,5,141,5,
277,60,4,1,212,2,12/31/2023
278,769,18,1,152,1,5/25/2023
279,448,1,3,189,4,
280,743,18,2,81,4,4/7/2023
281,996,6,3,9,4,
282,158,6,5,154,2,5/27/2023
283,12,3,3,249,4,
284,928,19,5,330,4,8/27/2023
285,992,17,1,56,3,2/16/2023
286,479,18,3,85,1,
287,625,2,2,9,1,
288,478,6,3,5,4,
289,348,9,1,226,4,2/19/2023
290,54,16,5,157,1,11/11/2023
291,660,8,4,43,2,8/12/2023
292,759,6,4,220,2,
293,373,8,3,210,1,8/30/2023
294,495,24,1,95,5,
295,625,17,3,79,5,
296,764,23,5,207,4,
297,592,11,4,165,2,
298,611,2,1,42,3,
299,806,17,2,339,1,
300,528,1,1,109,3,
301,85,17,3,2,1,1/5/2023
302,943,8,3,352,4,6/2/2023
303,923,9,5,74,4,10/4/2023
304,481,20,3,355,3,5/20/2023
305,166,19,2,121,1,
306,726,19,5,165,2,
307,202,8,3,321,4,
308,84,16,5,309,4,
309,86,15,2,302,5,4/20/2023
310,918,3,3,19,2,
311,305,17,2,43,4,5/7/2023
312,223,25,2,104,5,4/19/2023
313,856,19,1,224,4,
314,949,7,1,17,2,
315,794,21,3,62,2,4/12/2023
316,522,23,5,326,1,
317,712,12,3,34,2,
318,720,17,4,184,2,8/21/2023
319,644,1,2,287,3,
320,643,17,5,193,1,11/19/2023
321,595,12,4,63,4,1/3/2023
322,666,24,1,86,2,11/27/2023
323,532,3,2,327,2,8/29/2023
324,988,13,5,168,4,
325,742,22,4,151,4,7/3/2023
326,326,11,3,129,3,
327,599,11,3,6,4,7/25/2023
328,815,6,4,307,3,
329,304,9,4,270,4,11/8/2023
330,155,13,4,72,1,11/23/2023
331,283,10,3,12,4,12/3/2023
332,94,14,1,12,4,
333,425,23,5,59,3,
334,942,25,4,349,3,
335,369,24,1,192,5,6/2/2023
336,526,13,1,129,2,11/26/2023
337,167,18,4,39,4,1/19/2023
338,325,2,1,56,3,5/6/2023
339,254,13,4,96,1,
340,743,4,1,325,4,5/15/2023
341,479,2,4,212,4,8/27/2023
342,952,13,2,74,4,12/14/2023
343,943,11,3,162,3,3/19/2023
344,460,23,5,57,1,12/8/2023
345,976,12,3,66,3,12/8/2023
346,474,17,3,72,2,
347,66,20,1,130,2,10/4/2023
348,854,5,1,103,3,
349,746,5,4,14,2,10/17/2023
350,907,21,1,242,3,2/21/2023
351,159,20,5,21,5,10/29/2023
352,603,20,2,117,3,1/26/2023
353,173,12,3,348,4,
354,178,9,3,360,1,10/31/2023
355,391,9,1,179,5,
356,446,25,1,117,2,
357,714,21,3,336,2,
358,569,5,5,328,2,2/14/2023
359,112,9,4,246,5,
360,338,15,2,154,1,3/20/2023
361,453,22,5,125,2,9/27/2023
362,910,8,2,339,3,4/24/2023
363,669,11,1,164,1,8/31/2023
364,388,5,3,203,3,10/1/2023
365,694,25,4,121,2,
366,483,19,2,66,2,9/28/2023
367,480,16,1,34,5,
368,226,22,5,93,2,7/17/2023
369,410,11,5,270,4,
370,813,2,5,208,3,
